,ape_instructions
0,"**Evaluate each essay thoroughly and assign a score from 1-5 based on its overall merit, logical flow, and alignment with the given topic.**"
1,"**Evaluate each essay thoroughly and assign a score from 1 to 5 based on its overall merit, logical flow, and alignment with the given topic.**"
2,"**Evaluate each essay thoroughly and assign a score from 1-5 based on its overall merit, logical flow, and alignment with the given topic.**"
4,Assign a score from 1 (least effective) to 5 (most effective) to evaluate how successfully each essay tackles its respective topic.
5,"Evaluate the essays on a scale of 1 to 5, where 1 represents a minimal connection to the topic and 5 signifies a comprehensive and compelling discussion."
6,"Evaluate each essay on a scale of 1-5 according to its relevance to the topic, where 1 represents minimal alignment and 5 signifies exceptional connection."
8,"**Comprehensive Evaluation Framework**

* Level 1: The response exhibits significant weaknesses in writing quality, clarity, and topic relevance.
* Level 2: The response displays limited understanding of the topic, struggling with logical flow, structure, and linguistic effectiveness.
* Level 3: The response offers a clear claim, some relevant evidence, and adequate communication, although possibly lacking in depth, cohesion, or smooth connections.
* Level 4: The response presents a well-articulated claim, robust evidence, and effective communication, with occasional minor flaws in structure or connections.
* Level 5: The response is outstanding, featuring a clear, focused claim, compelling evidence, and masterful language use, with seamless organization and transitions."
9,"**Comprehensive Evaluation Framework**

* Level 1: The response exhibits significant deficiencies in writing quality, clarity, and topic relevance.
* Level 2: The response displays limited mastery of the topic, struggling with logical flow, structural coherence, and linguistic precision.
* Level 3: The response offers a discernible thesis, some relevant evidence, and satisfactory language skills, but may fall short in terms of depth, cohesion, or transitional smoothness.
* Level 4: The response presents a well-articulated thesis, robust supporting evidence, and effective language use, with occasional minor flaws in structural logic or transitional connections.
* Level 5: The response is outstanding, showcasing a crystal-clear, focused thesis statement, compelling supporting evidence, and masterful language use, characterized by seamless organization and transitions."
10,"**Comprehensive Assessment Guidelines**

* Level 1: The response is inadequately expressed, lacks focus, and fails to engage with the topic.
* Level 2: The response displays partial comprehension of the topic but is disorganized, lacking in clarity, and inefficient in its use of language.
* Level 3: The response presents a clear claim, some relevant examples, and competent language skills, although it may lack nuance, coherence, or smooth connections.
* Level 4: The response offers a well-articulated claim, robust evidence, and effective language skills, with minor flaws in structure or linking phrases.
* Level 5: The response is outstandingly crafted, featuring a clear, concise claim, compelling evidence, and masterful language use, with seamless organization and connections."
12,"Evaluate each essay response thoroughly, assigning a score from 1 to 5 based on its general merit, logical flow, and alignment with the topic, where 1 denotes a low-quality or irrelevant submission and 5 indicates an outstanding, well-structured, and persuasively argued piece."
13,"Evaluate each essay response thoroughly, considering its overall clarity, logical flow, and alignment with the given topic. Assign a score of 1 to 5, where 1 denotes a low-quality or irrelevant submission, and 5 represents a superbly crafted, coherent, and persuasively argued piece of writing."
14,"Evaluate each essay response thoroughly, considering its overall quality, logical flow, and alignment with the topic, and assign a score from 1 to 5, where 1 indicates a weak or irrelevant submission and 5 represents an outstanding, well-structured, and persuasively argued piece of writing."
16,"Evaluate essays according to their logical flow, linguistic accuracy, lexical diversity, and relevance to the subject matter, using a rating system from 1 to 5, where:

(Note: I've maintained the same semantic meaning as the original instruction while rephrasing it to create a variation)"
17,"Evaluate essays according to their overall quality, considering four key aspects: logical flow, linguistic accuracy, lexical range, and thematic relevance, with a rating system ranging from 1 (seriously flawed) to 5 (outstanding)."
18,"Evaluate essays on a scale of 1-5 based on their overall quality, considering factors such as logical flow, linguistic accuracy, lexical range, and relevance to the assigned theme."
